match_id,start_event_id,clip_id,human_label,positive_votes,agreement_votes,human_weight,human_source,candidate_id,current_clip_file,matched_reference_snapshot
5544219,2224604000,candidate_097,0,0.0,7,12.0,new170,,,
5544219,2224604046,candidate_098,0,2.0,5,5.0,new170,,,
5544220,2225801241,candidate_088,0,0.0,7,12.0,new170,,,
5544221,2225544375,candidate_026,0,0.0,7,12.0,new170,,,
5544221,2225544976,candidate_151,1,7.0,7,12.0,new170,,,
5544221,2225546384,candidate_046,1,6.0,6,8.0,new170,,,
5544222,2226419446,candidate_167,0,0.0,7,12.0,new170,,,
5544223,2226411571,candidate_155,0,0.0,7,12.0,new170,,,
5544224,2226368635,candidate_003,0,0.0,7,12.0,new170,,,
5544224,2226368692,candidate_095,1,7.0,7,12.0,new170,,,
5544224,2226368850,candidate_054,1,6.0,6,8.0,new170,,,
5544225,2226397823,candidate_094,1,7.0,7,12.0,new170,,,
5544225,2226399361,candidate_123,0,0.0,7,12.0,new170,,,
5544227,2226795422,candidate_168,1,7.0,7,12.0,new170,,,
5544227,2226796549,candidate_169,1,7.0,7,12.0,new170,,,
5544227,2226796629,candidate_124,0,0.0,7,12.0,new170,,,
5544230,2227943239,candidate_085,0,0.0,7,12.0,new170,,,
5544232,2228689658,candidate_170,0,0.0,7,12.0,new170,,,
5544232,2228690881,candidate_029,0,0.0,7,12.0,new170,,,
5544233,2228696173,candidate_007,0,0.0,7,12.0,new170,,,
5544234,2229413431,candidate_171,0,0.0,7,12.0,new170,,,
5544235,2229695016,candidate_153,1,5.0,5,5.0,new170,,,
5544235,2229695655,candidate_055,0,0.0,7,12.0,new170,,,
5544235,2229696102,candidate_052,0,0.0,7,12.0,new170,,,
5544236,2230068598,candidate_048,1,7.0,7,12.0,new170,,,
5544236,2230068642,candidate_044,0,0.0,7,12.0,new170,,,
5544236,2230069134,candidate_064,0,0.0,7,12.0,new170,,,
5544237,2230122772,candidate_004,0,2.0,5,5.0,new170,,,
5544238,2231104429,34,1,7.0,7,12.0,old48,1.0,Clip34_001_5544238_2231104429_final1.png,Clip34_001_5544238_2231104429_final1.png
5544238,2231104436,35,1,7.0,7,12.0,old48,2.0,Clip35_002_5544238_2231104436_final1.png,Clip35_002_5544238_2231104436_final1.png
5544238,2231104494,36,0,0.0,7,12.0,old48,3.0,Clip36_003_5544238_2231104494_final0.png,Clip36_003_5544238_2231104494_final0.png
5544238,2231104558,37,1,7.0,7,12.0,old48,4.0,Clip37_004_5544238_2231104558_final1.png,Clip37_004_5544238_2231104558_final1.png
5544238,2231104943,40,1,7.0,7,12.0,old48,9.0,Clip40_009_5544238_2231104943_final1.png,Clip40_009_5544238_2231104943_final1.png
5544238,2231104955,41,0,1.0,6,8.0,old48,10.0,Clip41_010_5544238_2231104955_final0.png,Clip41_010_5544238_2231104955_final0.png
5544238,2231105793,38,0,2.0,5,5.0,old48,5.0,Clip38_005_5544238_2231105793_final0.png,Clip38_005_5544238_2231105793_final0.png
5544238,2231105796,39,1,6.0,6,8.0,old48,6.0,Clip39_006_5544238_2231105796_final1.png,Clip39_006_5544238_2231105796_final1.png
5544238,2231106172,42,1,7.0,7,12.0,old48,11.0,Clip42_011_5544238_2231106172_final0.png,Clip42_011_5544238_2231106172_final0.png
5544238,2231106190,43,1,5.0,5,5.0,old48,12.0,Clip43_012_5544238_2231106190_final1.png,Clip43_012_5544238_2231106190_final1.png
5544238,2231106252,44,1,6.0,6,8.0,old48,13.0,Clip44_013_5544238_2231106252_final1.png,Clip44_013_5544238_2231106252_final1.png
5544238,2231106264,45,1,5.0,5,5.0,old48,14.0,Clip45_014_5544238_2231106264_final0.png,Clip45_014_5544238_2231106264_final0.png
5544238,2231106429,46,1,7.0,7,12.0,old48,15.0,Clip46_015_5544238_2231106429_final1.png,Clip46_015_5544238_2231106429_final1.png
5544238,2231106516,47,1,7.0,7,12.0,old48,16.0,Clip47_016_5544238_2231106516_final0.png,Clip47_016_5544238_2231106516_final0.png
5544238,2231106679,48,1,7.0,7,12.0,old48,17.0,Clip48_017_5544238_2231106679_final1.png,Clip48_017_5544238_2231106679_final1.png
5544239,2231117698,candidate_072,0,2.0,5,5.0,new170,,,
5544239,2231117984,candidate_106,0,0.0,7,12.0,new170,,,
5544239,2231119399,candidate_047,0,0.0,7,12.0,new170,,,
5544242,2233291701,candidate_109,0,0.0,7,12.0,new170,,,
5544243,2236458363,candidate_118,0,0.0,7,12.0,new170,,,
5706351,2573076509,candidate_080,0,0.0,7,12.0,new170,,,
5706351,2573076928,candidate_125,0,0.0,7,12.0,new170,,,
5706356,2574366584,candidate_111,0,0.0,7,12.0,new170,,,
5706357,2573695428,candidate_126,0,0.0,7,12.0,new170,,,
5706359,2575253123,candidate_082,0,0.0,7,12.0,new170,,,
5706359,2575253617,candidate_049,0,1.0,6,8.0,new170,,,
5706360,2575148968,candidate_114,0,0.0,7,12.0,new170,,,
5706360,2575150075,candidate_113,0,0.0,7,12.0,new170,,,
5706361,2575161283,candidate_051,1,5.0,5,5.0,new170,,,
5706361,2575162413,candidate_045,0,0.0,7,12.0,new170,,,
5706363,2576115980,candidate_149,1,7.0,7,12.0,new170,,,
5706363,2576116186,candidate_071,0,0.0,7,12.0,new170,,,
5706364,2576195256,candidate_033,0,3.0,4,3.0,new170,,,
5706368,2578779943,candidate_148,1,7.0,7,12.0,new170,,,
5706368,2578780187,candidate_016,0,0.0,7,12.0,new170,,,
5706369,2578750905,candidate_102,0,0.0,7,12.0,new170,,,
5706369,2578750990,candidate_127,0,0.0,7,12.0,new170,,,
5706369,2578751425,candidate_116,0,0.0,7,12.0,new170,,,
5706369,2578751919,candidate_128,1,7.0,7,12.0,new170,,,
5706369,2578752634,candidate_087,1,6.0,6,8.0,new170,,,
5706370,2579478071,candidate_002,0,2.0,5,5.0,new170,,,
5706373,2579547996,candidate_075,1,7.0,7,12.0,new170,,,
5706373,2579549566,candidate_042,0,0.0,7,12.0,new170,,,
5706374,2581949049,candidate_009,0,1.0,6,8.0,new170,,,
5706374,2581949498,candidate_101,0,0.0,7,12.0,new170,,,
5706375,2581807037,candidate_129,0,0.0,7,12.0,new170,,,
5706377,2583136680,candidate_100,0,0.0,7,12.0,new170,,,
5706377,2583136981,candidate_108,0,0.0,7,12.0,new170,,,
5706378,2586437728,candidate_083,1,7.0,7,12.0,new170,,,
5706379,2586439525,candidate_130,0,0.0,7,12.0,new170,,,
5706379,2586439535,candidate_021,0,0.0,7,12.0,new170,,,
5706379,2586440914,candidate_079,0,0.0,7,12.0,new170,,,
5706991,2593753337,candidate_172,1,7.0,7,12.0,new170,,,
5706992,2593954213,candidate_061,1,7.0,7,12.0,new170,,,
5706992,2593954539,candidate_019,0,0.0,7,12.0,new170,,,
5706992,2593955136,candidate_146,1,5.0,5,5.0,new170,,,
5706992,2593955232,candidate_050,0,0.0,7,12.0,new170,,,
5706993,2594706814,candidate_119,0,0.0,7,12.0,new170,,,
5706994,2594831374,candidate_012,0,0.0,7,12.0,new170,,,
5706994,2594832471,candidate_078,0,2.0,5,5.0,new170,,,
5706995,2595481254,candidate_063,1,7.0,7,12.0,new170,,,
5706995,2595481336,candidate_036,0,0.0,7,12.0,new170,,,
5706995,2595482172,candidate_058,1,7.0,7,12.0,new170,,,
5706996,2595320134,candidate_060,1,6.0,6,8.0,new170,,,
5706996,2595320434,candidate_037,0,0.0,7,12.0,new170,,,
5706996,2595320538,candidate_039,1,5.0,5,5.0,new170,,,
5706996,2595320786,candidate_084,0,0.0,7,12.0,new170,,,
5706997,2596380811,candidate_131,0,0.0,7,12.0,new170,,,
5706997,2596382233,candidate_141,1,7.0,7,12.0,new170,,,
5706998,2596705898,candidate_053,0,0.0,7,12.0,new170,,,
5706998,2596707568,candidate_173,1,7.0,7,12.0,new170,,,
5706999,2597685589,candidate_030,0,0.0,7,12.0,new170,,,
5707000,2597806267,candidate_027,0,0.0,7,12.0,new170,,,
5707001,2599098354,candidate_132,0,0.0,7,12.0,new170,,,
5707001,2599098879,candidate_133,0,0.0,7,12.0,new170,,,
5707002,2599191667,4,0,3.0,4,3.0,old48,22.0,Clip4_022_5707002_2599191667_final0.png,Clip4_022_5707002_2599191667_final0.png
5707002,2599191690,1,1,4.0,4,3.0,old48,19.0,Clip1_019_5707002_2599191690_final1.png,Clip1_019_5707002_2599191690_final1.png
5707002,2599191710,8,0,0.0,7,12.0,old48,26.0,Clip8_026_5707002_2599191710_final1.png,Clip8_026_5707002_2599191710_final1.png
5707002,2599191733,2,1,4.0,4,3.0,old48,20.0,Clip2_020_5707002_2599191733_final1.png,Clip2_020_5707002_2599191733_final1.png
5707002,2599191750,3,0,0.0,7,12.0,old48,21.0,Clip3_021_5707002_2599191750_final0.png,Clip3_021_5707002_2599191750_final0.png
5707002,2599191759,5,1,7.0,7,12.0,old48,23.0,Clip5_023_5707002_2599191759_final1.png,Clip5_023_5707002_2599191759_final1.png
5707002,2599191762,6,0,0.0,7,12.0,old48,24.0,Clip6_024_5707002_2599191762_final0.png,Clip6_024_5707002_2599191762_final0.png
5707002,2599191819,7,0,0.0,7,12.0,old48,25.0,Clip7_025_5707002_2599191819_final0.png,Clip7_025_5707002_2599191819_final0.png
5707002,2599191834,11,1,6.0,6,8.0,old48,29.0,Clip11_029_5707002_2599191834_final1.png,Clip11_029_5707002_2599191834_final1.png
5707002,2599191890,12,0,1.0,6,8.0,old48,30.0,Clip12_030_5707002_2599191890_final0.png,Clip12_030_5707002_2599191890_final0.png
5707002,2599191927,9,1,6.0,6,8.0,old48,27.0,Clip9_027_5707002_2599191927_final1.png,Clip9_027_5707002_2599191927_final1.png
5707002,2599191934,candidate_081,0,0.0,7,12.0,new170,,,
5707002,2599191980,candidate_010,0,1.0,6,8.0,new170,,,
5707002,2599192007,10,0,0.0,7,12.0,old48,28.0,Clip10_028_5707002_2599192007_final0.png,Clip10_028_5707002_2599192007_final0.png
5707002,2599192078,13,0,0.0,7,12.0,old48,31.0,Clip13_031_5707002_2599192078_final1.png,Clip13_031_5707002_2599192078_final1.png
5707002,2599192214,14,0,0.0,7,12.0,old48,32.0,Clip14_032_5707002_2599192214_final0.png,Clip14_032_5707002_2599192214_final0.png
5707002,2599192452,15,0,0.0,7,12.0,old48,33.0,Clip15_033_5707002_2599192452_final0.png,Clip15_033_5707002_2599192452_final0.png
5707002,2599192457,16,0,2.0,5,5.0,old48,34.0,Clip16_034_5707002_2599192457_final0.png,Clip16_034_5707002_2599192457_final0.png
5707002,2599192486,17,0,0.0,7,12.0,old48,35.0,Clip17_035_5707002_2599192486_final0.png,Clip17_035_5707002_2599192486_final0.png
5707002,2599192695,19,0,0.0,7,12.0,old48,37.0,Clip19_037_5707002_2599192695_final1.png,Clip19_037_5707002_2599192695_final1.png
5707002,2599192714,18,1,7.0,7,12.0,old48,36.0,Clip18_036_5707002_2599192714_final1.png,Clip18_036_5707002_2599192714_final1.png
5707002,2599193120,21,0,0.0,7,12.0,old48,39.0,Clip21_039_5707002_2599193120_final0.png,Clip21_039_5707002_2599193120_final0.png
5707002,2599193180,20,1,6.0,6,8.0,old48,38.0,Clip20_038_5707002_2599193180_final0.png,Clip20_038_5707002_2599193180_final0.png
5707004,2599997477,candidate_175,1,6.0,6,8.0,new170,,,
5707004,2599998058,candidate_024,0,1.0,6,8.0,new170,,,
5707005,2604333099,candidate_134,0,0.0,7,12.0,new170,,,
5707006,2609324566,candidate_142,1,7.0,7,12.0,new170,,,
5707007,2601698442,candidate_091,1,6.0,6,8.0,new170,,,
5707007,2601698902,candidate_176,0,2.0,5,5.0,new170,,,
5707007,2601698956,candidate_144,1,7.0,7,12.0,new170,,,
5707007,2601699751,candidate_096,0,0.0,7,12.0,new170,,,
5707007,2601699910,candidate_032,1,6.0,6,8.0,new170,,,
5707007,2601700399,candidate_135,0,0.0,7,12.0,new170,,,
5707008,2602641157,candidate_136,0,0.0,7,12.0,new170,,,
5707008,2602641514,candidate_020,0,0.0,7,12.0,new170,,,
5707009,2605280736,candidate_177,1,7.0,7,12.0,new170,,,
5707010,2604810388,candidate_073,0,0.0,7,12.0,new170,,,
5707011,2609211173,candidate_137,0,0.0,7,12.0,new170,,,
5707012,2605265668,candidate_158,1,6.0,6,8.0,new170,,,
5707012,2605266074,candidate_178,0,3.0,4,3.0,new170,,,
5707012,2605266423,candidate_138,0,0.0,7,12.0,new170,,,
5723756,2606245364,24,1,7.0,7,12.0,old48,42.0,Clip24_042_5723756_2606245364_final1.png,Clip24_042_5723756_2606245364_final1.png
5723756,2606245418,22,1,7.0,7,12.0,old48,40.0,Clip22_040_5723756_2606245418_final0.png,Clip22_040_5723756_2606245418_final0.png
5723756,2606245536,23,0,0.0,7,12.0,old48,41.0,Clip23_041_5723756_2606245536_final0.png,Clip23_041_5723756_2606245536_final0.png
5723756,2606245611,25,0,1.0,6,8.0,old48,44.0,Clip25_044_5723756_2606245611_final1.png,Clip25_044_5723756_2606245611_final1.png
5723756,2606245640,candidate_099,0,0.0,7,12.0,new170,,,
5723756,2606245864,28,0,0.0,7,12.0,old48,47.0,Clip28_047_5723756_2606245864_final0.png,Clip28_047_5723756_2606245864_final0.png
5723756,2606245889,29,0,1.0,6,8.0,old48,48.0,Clip29_048_5723756_2606245889_final1.png,Clip29_048_5723756_2606245889_final1.png
5723756,2606245967,30,1,7.0,7,12.0,old48,49.0,Clip30_049_5723756_2606245967_final1.png,Clip30_049_5723756_2606245967_final1.png
5723756,2606246049,27,1,7.0,7,12.0,old48,46.0,Clip27_046_5723756_2606246049_final0.png,Clip27_046_5723756_2606246049_final0.png
5723756,2606246068,31,0,3.0,4,3.0,old48,50.0,Clip31_050_5723756_2606246068_final0.png,Clip31_050_5723756_2606246068_final0.png
5723756,2606246124,32,1,4.0,4,3.0,old48,51.0,Clip32_051_5723756_2606246124_final1.png,Clip32_051_5723756_2606246124_final1.png
5723756,2606246388,candidate_179,1,5.0,5,5.0,new170,,,
5723756,2606246644,33,1,7.0,7,12.0,old48,52.0,Clip33_052_5723756_2606246644_final0.png,Clip33_052_5723756_2606246644_final0.png
5723756,2606247199,26,0,2.0,5,5.0,old48,45.0,Clip26_045_5723756_2606247199_final0.png,Clip26_045_5723756_2606247199_final0.png
5723759,2611031676,candidate_139,0,0.0,7,12.0,new170,,,
5723759,2611032795,candidate_076,0,0.0,7,12.0,new170,,,
5728857,2612567518,candidate_008,1,5.0,5,5.0,new170,,,
5728857,2612567755,candidate_074,0,0.0,7,12.0,new170,,,
5728857,2612568056,candidate_180,1,5.0,5,5.0,new170,,,
5728857,2612569216,candidate_041,0,0.0,7,12.0,new170,,,
5728857,2612571434,candidate_013,1,7.0,7,12.0,new170,,,
5728858,2613282850,candidate_067,0,0.0,7,12.0,new170,,,
5728858,2613282915,candidate_117,0,0.0,7,12.0,new170,,,
5728858,2613282947,candidate_011,0,0.0,7,12.0,new170,,,
5728858,2613283839,candidate_034,0,2.0,5,5.0,new170,,,
5728858,2613283929,candidate_006,0,0.0,7,12.0,new170,,,
5728860,2617116660,candidate_093,0,0.0,7,12.0,new170,,,
5728860,2617117278,candidate_140,0,2.0,5,5.0,new170,,,
5728860,2617118226,candidate_015,1,6.0,6,8.0,new170,,,
5728860,2617118794,candidate_103,0,0.0,7,12.0,new170,,,
