display_candidate_num,Nicolai,Christoffer,Mikkel,Son,Rida,Malik,Christian,positive_votes,negative_votes,majority_label,agreement_votes,agreement_share,is_unanimous
110,0,0,0,0,0,0,0,0,7,0,7,1.0,True
111,0,0,0,0,0,0,0,0,7,0,7,1.0,True
112,0,0,0,0,0,0,0,0,7,0,7,1.0,True
113,0,0,0,0,0,0,0,0,7,0,7,1.0,True
114,0,0,0,0,0,0,0,0,7,0,7,1.0,True
115,0,0,0,0,0,0,0,0,7,0,7,1.0,True
116,0,0,0,0,0,0,0,0,7,0,7,1.0,True
117,0,0,0,0,0,0,0,0,7,0,7,1.0,True
118,0,0,0,0,0,0,0,0,7,0,7,1.0,True
119,0,0,0,0,0,0,0,0,7,0,7,1.0,True
120,0,0,0,0,0,0,0,0,7,0,7,1.0,True
121,0,0,0,0,0,0,0,0,7,0,7,1.0,True
122,0,0,0,0,0,0,0,0,7,0,7,1.0,True
123,0,0,0,0,0,0,0,0,7,0,7,1.0,True
124,0,0,0,0,0,0,0,0,7,0,7,1.0,True
125,0,0,0,0,0,0,0,0,7,0,7,1.0,True
126,0,0,0,0,0,0,0,0,7,0,7,1.0,True
127,0,0,0,0,0,0,0,0,7,0,7,1.0,True
128,1,1,1,1,1,1,1,7,0,1,7,1.0,True
129,0,0,0,0,0,0,0,0,7,0,7,1.0,True
130,0,0,0,0,0,0,0,0,7,0,7,1.0,True
131,0,0,0,0,0,0,0,0,7,0,7,1.0,True
132,0,0,0,0,0,0,0,0,7,0,7,1.0,True
133,0,0,0,0,0,0,0,0,7,0,7,1.0,True
134,0,0,0,0,0,0,0,0,7,0,7,1.0,True
135,0,0,0,0,0,0,0,0,7,0,7,1.0,True
136,0,0,0,0,0,0,0,0,7,0,7,1.0,True
137,0,0,0,0,0,0,0,0,7,0,7,1.0,True
138,0,0,0,0,0,0,0,0,7,0,7,1.0,True
139,0,0,0,0,0,0,0,0,7,0,7,1.0,True
140,1,0,0,1,0,0,0,2,5,0,5,0.7142857142857143,False
141,1,1,1,1,1,1,1,7,0,1,7,1.0,True
142,1,1,1,1,1,1,1,7,0,1,7,1.0,True
143,1,1,1,1,1,1,1,7,0,1,7,1.0,True
144,1,1,1,1,1,1,1,7,0,1,7,1.0,True
145,1,1,1,1,1,1,1,7,0,1,7,1.0,True
146,1,1,0,1,1,1,0,5,2,1,5,0.7142857142857143,False
147,1,1,1,1,1,1,1,7,0,1,7,1.0,True
148,1,1,1,1,1,1,1,7,0,1,7,1.0,True
149,1,1,1,1,1,1,1,7,0,1,7,1.0,True
150,1,1,1,1,1,1,1,7,0,1,7,1.0,True
151,1,1,1,1,1,1,1,7,0,1,7,1.0,True
153,1,1,1,1,0,1,0,5,2,1,5,0.7142857142857143,False
154,1,1,1,1,1,0,1,6,1,1,6,0.8571428571428571,False
155,0,0,0,0,0,0,0,0,7,0,7,1.0,True
156,1,1,1,1,1,1,1,7,0,1,7,1.0,True
157,1,1,1,1,1,1,1,7,0,1,7,1.0,True
158,1,1,0,1,1,1,1,6,1,1,6,0.8571428571428571,False
160,1,1,1,1,1,1,1,7,0,1,7,1.0,True
161,0,1,1,1,0,1,0,4,3,1,4,0.5714285714285714,False
162,1,1,0,1,1,1,1,6,1,1,6,0.8571428571428571,False
163,1,1,1,1,1,1,1,7,0,1,7,1.0,True
165,1,1,1,0,0,1,1,5,2,1,5,0.7142857142857143,False
166,1,1,1,1,1,1,1,7,0,1,7,1.0,True
167,0,0,0,0,0,0,0,0,7,0,7,1.0,True
168,1,1,1,1,1,1,1,7,0,1,7,1.0,True
169,1,1,1,1,1,1,1,7,0,1,7,1.0,True
170,0,0,0,0,0,0,0,0,7,0,7,1.0,True
171,0,0,0,0,0,0,0,0,7,0,7,1.0,True
172,1,1,1,1,1,1,1,7,0,1,7,1.0,True
173,1,1,1,1,1,1,1,7,0,1,7,1.0,True
174,1,0,1,1,0,1,0,4,3,1,4,0.5714285714285714,False
175,1,0,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
176,0,0,0,0,1,0,1,2,5,0,5,0.7142857142857143,False
177,1,1,1,1,1,1,1,7,0,1,7,1.0,True
178,1,0,1,1,0,0,0,3,4,0,4,0.5714285714285714,False
179,0,1,1,1,1,0,1,5,2,1,5,0.7142857142857143,False
180,1,1,0,1,0,1,1,5,2,1,5,0.7142857142857143,False
